	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
0	"['HG00099.m54329U_220825_174247.dc.q20.fastq.gz'
 'HG00099.m54329U_220827_143814.dc.q20.fastq.gz'
 'HG00099.m54329U_220829_095708.dc.q20.fastq.gz']"	HG00099	['PG00099_1.HFSS_dc' 'PG00099_2.HFSS_dc' 'PG00099_2.HFSS_dc']	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	8197728	166559881890	166.56	196.66666666666666	62248.666666666664	17449.333333333332	19636.333333333332	22651.666666666668	17950.333333333332	20409.333333333332	23637.666666666668
1	"['HG00140.m64043_220728_173215.dc.q20.fastq.gz'
 'HG00140.m64136_220715_182717.dc.q20.fastq.gz'
 'HG00140.m64136_220717_152248.dc.q20.fastq.gz'
 'HG00140.m64136_220719_122056.dc.q20.fastq.gz']"	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	5807737	126611334877	126.62	272.5	67774.5	18393.25	20448.5	23623.25	18873.5	21263.0	24996.25
2	"['HG00280.m54329U_220901_221341.dc.q20.fastq.gz'
 'HG00280.m64076_220831_191646.dc.q20.fastq.gz'
 'HG00280.m64457e_220825_195635.dc.q20.fastq.gz']"	HG00280	PG00280.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7510548	151564344052	151.56	95.0	64738.666666666664	17189.666666666668	19452.666666666668	22546.0	17712.333333333332	20266.666666666668	23568.0
3	"['HG00323.m64043_220728_173215.dc.q20.fastq.gz'
 'HG00323.m64136_220708_205611.dc.q20.fastq.gz'
 'HG00323.m64136_220710_175208.dc.q20.fastq.gz'
 'HG00323.m64136_220712_144943.dc.q20.fastq.gz']"	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6215164	120027730827	120.03	368.75	60432.75	16941.5	19105.5	21983.25	17417.0	19893.75	22834.5
4	"['HG00408.m64136_211111_194404.dc.q20.fastq.gz'
 'HG00408.m64136_211113_063830.dc.q20.fastq.gz'
 'HG00408.m64136_211114_164241.dc.q20.fastq.gz']"	HG00408	HG00408_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6986984	134450022475	134.45	396.6666666666667	63712.666666666664	16502.333333333332	17981.0	21025.666666666668	16795.666666666668	18577.333333333332	22431.333333333332
5	"['HG00558.m54329U_220107_233847.dc.q20.fastq.gz'
 'HG00558.m54329U_220114_143904.dc.q20.fastq.gz'
 'HG00558.m54329U_220116_013607.dc.q20.fastq.gz'
 'HG00558.m64076_220216_013707.dc.q20.fastq.gz']"	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	5926079	125476773513	125.47	278.25	71413.5	16664.25	20128.25	24542.0	17925.75	21821.25	26578.5
6	"['HG00597.m64043_211210_180342.dc.q20.fastq.gz'
 'HG00597.m64043_211212_045901.dc.q20.fastq.gz'
 'HG00597.m64043_211213_155654.dc.q20.fastq.gz'
 'HG00597.m64043_211222_184851.dc.q20.fastq.gz']"	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6699990	136188293000	136.19	507.5	56623.0	18041.5	19308.5	21024.75	18219.75	19587.75	21423.75
7	"['HG00639.m54329U_211222_104516.dc.q20.fastq.gz'
 'HG00639.m54329U_211230_014258.dc.q20.fastq.gz'
 'HG00639.m54329U_211231_123903.dc.q20.fastq.gz'
 'HG00639.m64076_220216_013707.dc.q20.fastq.gz']"	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6460240	129823813816	129.82999999999998	171.75	67000.5	15945.5	19211.0	23407.5	17166.75	20847.75	25391.5
8	"['HG01074.m54329U_211110_112322.dc.q20.fastq.gz'
 'HG01074.m54329U_211208_005551.dc.q20.fastq.gz'
 'HG01074.m54329U_211211_014820.dc.q20.fastq.gz'
 'HG01074.m54329U_211212_111219.dc.q20.fastq.gz']"	HG01074	"['HG01074_SRE.HFSS_dc' 'HG01074.HFSS2_dc' 'HG01074.HFSS2_dc'
 'HG01074.HFSS2_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7394423	143703615375	143.7	450.75	65032.5	16286.25	18770.75	22208.25	16957.0	19822.75	23602.25
9	"['HG01081.m54329U_211223_214216.dc.q20.fastq.gz'
 'HG01081.m54329U_220101_220852.dc.q20.fastq.gz'
 'HG01081.m54329U_220103_072943.dc.q20.fastq.gz']"	HG01081	HG01081.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6659558	131091771689	131.09	279.0	73057.66666666667	15295.0	18874.0	23285.333333333332	16788.666666666668	20749.0	25434.666666666668
10	"['HG01192.m64043_211124_192057.dc.q20.fastq.gz'
 'HG01192.m64043_211126_061537.dc.q20.fastq.gz'
 'HG01192.m64043_211127_171224.dc.q20.fastq.gz']"	HG01192	HG01192_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6658047	137542735446	137.55	172.66666666666666	61404.666666666664	18097.0	19934.0	22555.666666666668	18485.333333333332	20515.666666666668	23457.666666666668
11	"['HG01261.m64043_211222_184851.dc.q20.fastq.gz'
 'HG01261.m64136_211105_181124.dc.q20.fastq.gz'
 'HG01261.m64136_211107_050725.dc.q20.fastq.gz'
 'HG01261.m64136_211108_160613.dc.q20.fastq.gz']"	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6261141	132770447728	132.76999999999998	641.25	72534.0	18135.25	19746.75	22942.25	18451.0	20395.0	24743.75
12	"['HG01975.m64043_211113_003158.dc.q20.fastq.gz'
 'HG01975.m64043_211114_112934.dc.q20.fastq.gz'
 'HG01975.m64043_211115_222749.dc.q20.fastq.gz'
 'HG01975.m64043_211222_184851.dc.q20.fastq.gz']"	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6149540	121417620190	121.42	487.25	63382.75	17640.0	18930.5	20890.5	17829.25	19280.0	21587.5
13	"['HG02015.m64043_210901_164337.dc.q20.fastq.gz'
 'HG02015.m64043_210903_163032.dc.q20.fastq.gz'
 'HG02015.m64043_210905_032603.dc.q20.fastq.gz']"	HG02015	HG02015_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6722020	125875719290	125.87	185.33333333333334	63591.333333333336	16165.666666666666	17675.666666666668	20822.0	16441.0	18346.666666666668	21719.333333333332
14	"['HG02040.m64076_220908_204946.dc.q20.fastq.gz'
 'HG02040.m64076_220910_174812.dc.q20.fastq.gz'
 'HG02040.m64076_220912_140850.dc.q20.fastq.gz']"	HG02040	HG02040.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7337683	153044049343	153.04	148.0	70604.66666666667	17718.666666666668	20162.0	23486.0	18350.0	21104.333333333332	24657.333333333332
15	"['HG02056.m64043_220114_181052.dc.q20.fastq.gz'
 'HG02056.m64136_211118_185339.dc.q20.fastq.gz'
 'HG02056.m64136_211120_043838.dc.q20.fastq.gz'
 'HG02056.m64136_211121_153454.dc.q20.fastq.gz']"	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6890488	138625934903	138.62	365.75	61412.75	17836.75	19443.5	21931.75	18199.5	20002.25	22964.25
16	"['HG02129.m64136_220422_181133.dc.q20.fastq.gz'
 'HG02129.m64136_220424_050632.dc.q20.fastq.gz'
 'HG02129.m64136_220426_155627.dc.q20.fastq.gz']"	HG02129	HG02129_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6576835	126751685854	126.76	500.0	71528.66666666667	16363.666666666666	18864.666666666668	21019.0	17043.666666666668	19405.333333333332	21785.0
17	"['HG02155.m64043_220728_173215.dc.q20.fastq.gz'
 'HG02155.m64136_220701_181202.dc.q20.fastq.gz'
 'HG02155.m64136_220703_150713.dc.q20.fastq.gz'
 'HG02155.m64136_220705_120453.dc.q20.fastq.gz']"	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6386518	126129002873	126.13	362.0	65079.75	16913.75	18800.5	22019.25	17317.25	19594.75	23185.75
18	"['HG02165.m64076_220902_143723.dc.q20.fastq.gz'
 'HG02165.m64076_220904_113359.dc.q20.fastq.gz'
 'HG02165.m64076_220906_083112.dc.q20.fastq.gz']"	HG02165	PG02165.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7679472	157437648340	157.44	105.33333333333333	75755.33333333333	17573.666666666668	19881.666666666668	22921.666666666668	18111.0	20679.333333333332	23866.0
19	"['HG02258.m64043_211217_180919.dc.q20.fastq.gz'
 'HG02258.m64043_211219_050421.dc.q20.fastq.gz'
 'HG02258.m64043_211220_160211.dc.q20.fastq.gz'
 'HG02258.m64043_220114_181052.dc.q20.fastq.gz']"	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6443673	133053239389	133.05	300.0	60795.75	18690.5	20170.5	22108.75	18939.75	20512.0	22601.75
20	"['HG02273.m64043_220429_171542.dc.q20.fastq.gz'
 'HG02273.m64043_220501_041051.dc.q20.fastq.gz'
 'HG02273.m64043_220503_153752.dc.q20.fastq.gz']"	HG02273	HG02273_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6678473	137880480728	137.88	448.6666666666667	68991.0	17305.0	20105.666666666668	23054.0	17780.0	20990.0	24011.0
21	"['HG02451.m64076_211109_232223.dc.q20.fastq.gz'
 'HG02451.m64076_211208_005550.dc.q20.fastq.gz'
 'HG02451.m64076_211211_014755.dc.q20.fastq.gz'
 'HG02451.m64076_211212_112351.dc.q20.fastq.gz']"	HG02451	"['HG02451_SRE.HFSS_dc' 'HG02451.HFSS2_dc' 'HG02451.HFSS2_dc'
 'HG02451.HFSS2_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	8285737	146928480042	146.92000000000002	447.25	59382.75	15537.75	17615.25	20538.0	16028.25	18417.25	21597.5
22	"['HG02735.m54329U_211109_002533.dc.q20.fastq.gz'
 'HG02735.m54329U_211204_121716.dc.q20.fastq.gz'
 'HG02735.m54329U_211209_115915.dc.q20.fastq.gz'
 'HG02735.m64076_211209_102926.dc.q20.fastq.gz']"	HG02735	"['HG02735_SRE.HFSS_dc' 'HG02735.HFSS2_dc' 'HG02735.HFSS2_dc'
 'HG02735.HFSS2_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6568210	128966341210	128.97	75.0	66143.75	16374.5	18750.0	22043.5	16993.25	19717.25	23326.0
23	"['HG02922.m54329U_220816_182601.dc.q20.fastq.gz'
 'HG02922.m54329U_220903_190900.dc.q20.fastq.gz'
 'HG02922.m54329U_220905_144015.dc.q20.fastq.gz'
 'HG02922.m54329U_220907_100858.dc.q20.fastq.gz']"	HG02922	"['PG02922.HFSS_dc' 'PG02922.HFSS2_dc' 'PG02922.HFSS2_dc'
 'PG02922.HFSS2_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	8237501	177615501715	177.60999999999999	109.75	70597.0	17404.0	20348.25	24168.75	18299.25	21600.75	25679.75
24	"['HG02965.m64043_220715_182700.dc.q20.fastq.gz'
 'HG02965.m64043_220717_152237.dc.q20.fastq.gz'
 'HG02965.m64043_220719_122051.dc.q20.fastq.gz']"	HG02965	HG02965_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6358275	132920025321	132.91	126.66666666666667	68147.0	17745.333333333332	19624.333333333332	22985.666666666668	18165.333333333332	20438.0	24719.0
25	"['HG02976.m64043_220617_195135.dc.q20.fastq.gz'
 'HG02976.m64043_220619_164635.dc.q20.fastq.gz'
 'HG02976.m64043_220621_134351.dc.q20.fastq.gz'
 'HG02976.m64043_220726_203720.dc.q20.fastq.gz']"	HG02976	HG02976_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6238763	124726568925	124.72	381.5	63055.25	18049.5	19561.25	21464.5	18323.0	19912.5	21949.75
26	"['HG03017.m54329U_211225_070909.dc.q20.fastq.gz'
 'HG03017.m54329U_220109_103416.dc.q20.fastq.gz'
 'HG03017.m54329U_220117_123334.dc.q20.fastq.gz'
 'HG03017.m64076_220216_013707.dc.q20.fastq.gz'
 'HG03017.m64076_221001_041132.dc.q20.fastq.gz']"	HG03017	HG03017.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6908707	138503809328	138.5	416.2	68251.4	15915.2	19274.2	23509.2	17168.8	20940.0	25470.8
