	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
0	HG00099.m54329U_220825_174247.dc.q20.fastq.gz	HG00099	PG00099_1.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	8197728	166559881890	166.56	196.66666666666666	62248.666666666664	17449.333333333332	19636.333333333332	22651.666666666668	53851	61228	70913
1	HG00140.m64043_220728_173215.dc.q20.fastq.gz	HG00140	HG00140_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	5807737	126611334877	126.62	272.5	67774.5	18393.25	20448.5	23623.25	75494	85052	99985
2	HG00280.m54329U_220901_221341.dc.q20.fastq.gz	HG00280	PG00280.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7510548	151564344052	151.56	95.0	64738.666666666664	17189.666666666668	19452.666666666668	22546.0	53137	60800	70704
3	HG00323.m64043_220728_173215.dc.q20.fastq.gz	HG00323	HG00323_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6215164	120027730827	120.03	368.75	60432.75	16941.5	19105.5	21983.25	69668	79575	91338
4	HG00408.m64136_211111_194404.dc.q20.fastq.gz	HG00408	HG00408_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6986984	134450022475	134.45	396.6666666666667	63712.666666666664	16502.333333333332	17981.0	21025.666666666668	50387	55732	67294
5	HG00558.m54329U_220107_233847.dc.q20.fastq.gz	HG00558	HG00558.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	5926079	125476773513	125.47	278.25	71413.5	16664.25	20128.25	24542.0	71703	87285	106314
6	HG00597.m64043_211210_180342.dc.q20.fastq.gz	HG00597	HG00597_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6699990	136188293000	136.19	507.5	56623.0	18041.5	19308.5	21024.75	72879	78351	85695
7	HG00639.m54329U_211222_104516.dc.q20.fastq.gz	HG00639	HG00639.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6460240	129823813816	129.82999999999998	171.75	67000.5	15945.5	19211.0	23407.5	68667	83391	101566
8	HG01074.m54329U_211110_112322.dc.q20.fastq.gz	HG01074	HG01074_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7394423	143703615375	143.7	450.75	65032.5	16286.25	18770.75	22208.25	67828	79291	94409
9	HG01081.m54329U_211223_214216.dc.q20.fastq.gz	HG01081	HG01081.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6659558	131091771689	131.09	279.0	73057.66666666667	15295.0	18874.0	23285.333333333332	50366	62247	76304
